CS Terms,Meaning
Turing Machine,A mathematical model that performs computation by reading and writing to an infinite tape determines a result from a set of input variables. Made by Alan Turing (encoded 'enigma')
CPU,"Cental Processing Unit"" Calculates and interprets instructions given by user, its like a brain of the computer."
Transistors,"Transistors are binary switches and the primary building blocks of all microchips. They Act as a switch (1,0) and also as an amplifier (controls the strength of the electrical current in electric circuits.)"
Bit,"The smalled piece of information a computer can use. The ""Bit"" is binary digits, either 1 or 0 and is one of the value of the transistor. (1) means on while (0) means off. "
Byte,"A package of 8 ""Bit"" is called a ""Byte"". It is a unit of data that is eight binary digits long. Ex. 10110010"
Ascii Character encoding,"American Standard Code for info Interchange: uses Bytes for character encoding format for text data in the computer. The ASCII can be numbers, alphabets, or special addition char. "
Binary,A system for counting that has a possible state of 0 Or 1. 
Hexadecimal,"Its hard for humans to read Binary, and often, it is represented in a hexadecimal base 16 formal. 10 numbers (0-9) and 6 letters (A-F). "
Nibble,Four consecutive binary digits or often called half-byte. 
Machine Code,A low-level programming language consisting of binary digits/bits that the computer reads and understands. The code we write in Python for example gets converted to machine code so that it can be decoded and executed by the CPU. 
RAM,Random Access Memory: RAM is the temporary storage (short-term) component of the computer. RAM is one of the most important component that determines your system's performance. RAM holds all the data a computer uses. 
Memory Address,A unique identifier used by a device or CPU for data tracking.
I/O,The communication between the information processing system (computer) and the outside world (humans). Inputs are the signals received by the system (keyboard) and outputs are what the computer produces or displays: the result (monitors)
Kernel,The kernel is the interface between the software and the hardware. The kernel is the heart of the operating system and controls all the important functions of the CPU and hardware. 
Shell,"A software that allows users access to the kernel's services. - In case of hacking, the shell exposes the operating system to the end user. "
Command Line Interface,An interface that takes input as command lines and give the shell's output on the screen
Secure Shell Protocol,A method for secure remote login from one computer to another. - Notable applications are: Remote Login & Command line execution
Mainframe,High-performance computers with large amounts of memory & performance. -- Used in commercial databases & transaction servers (that require high security and agility)
Programming Language,"A computer language used by programmers (developers) to communicated with computers. Ex. C, C++, Java, Python"
Abstraction Principle,A fundamental principle in CS that aims to reduce duplication of info in a program by using 'abstractions' provided by the programming language. - Avoids duplication of info and human effort involved in the software development process. 
Interpreted Languages,"A different program, aka the interpreter, reads and executes the code. Ex. Compiled is like having a Spanish friend translate Spanish text for you and interpreting is like having an American friend who knows Spanish and then translate for you."
Compiled Languages,"In a compiled language, the target machine directly translates the program. The source code is not directly translated by the target machine in an interpreted language."
